seed,n_nodes,n_edges,true_targets,bad_targets,source_nodes,signal_modules,bad_modules,label_mean,source_abs_signal_separation,signed_source_signal_separation,source_weight_positive,source_weight_negative,latent_std,n_samples,n_features
2781,840,595,"['0', '28', '56', '84', '112', '140']","['168', '196', '224', '252', '280', '308']","[7, 8, 9, 10, 11, 12, 35, 36, 37, 38, 39, 40, 63, 64, 65, 66, 67, 68, 91, 92, 93, 94, 95, 96, 119, 120, 121, 122, 123, 124, 147, 148, 149, 150, 151, 152]","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.5,-0.0036820173263549805,2.013708026336612,14,22,1.1536260501686495,500,840
14526,840,597,"['0', '28', '56', '84', '112', '140']","['168', '196', '224', '252', '280', '308']","[7, 8, 9, 10, 11, 12, 35, 36, 37, 38, 39, 40, 63, 64, 65, 66, 67, 68, 91, 92, 93, 94, 95, 96, 119, 120, 121, 122, 123, 124, 147, 148, 149, 150, 151, 152]","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.5,0.0029953718185424805,1.8849112557950207,14,22,1.113177709214363,500,840
2027,840,598,"['0', '28', '56', '84', '112', '140']","['168', '196', '224', '252', '280', '308']","[7, 8, 9, 10, 11, 12, 35, 36, 37, 38, 39, 40, 63, 64, 65, 66, 67, 68, 91, 92, 93, 94, 95, 96, 119, 120, 121, 122, 123, 124, 147, 148, 149, 150, 151, 152]","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.5,0.0016444921493530273,2.002846892399776,13,23,1.1585780304196382,500,840
3407,840,600,"['0', '28', '56', '84', '112', '140']","['168', '196', '224', '252', '280', '308']","[7, 8, 9, 10, 11, 12, 35, 36, 37, 38, 39, 40, 63, 64, 65, 66, 67, 68, 91, 92, 93, 94, 95, 96, 119, 120, 121, 122, 123, 124, 147, 148, 149, 150, 151, 152]","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.5,0.0027440786361694336,2.041019302022519,17,19,1.1478199453614986,500,840
91011,840,597,"['0', '28', '56', '84', '112', '140']","['168', '196', '224', '252', '280', '308']","[7, 8, 9, 10, 11, 12, 35, 36, 37, 38, 39, 40, 63, 64, 65, 66, 67, 68, 91, 92, 93, 94, 95, 96, 119, 120, 121, 122, 123, 124, 147, 148, 149, 150, 151, 152]","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.5,0.001309514045715332,2.029116432782553,16,20,1.1211116116468298,500,840
2781,1080,654,"['0', '36', '72', '108', '144', '180']","['216', '252', '288', '324', '360', '396']","[7, 8, 9, 10, 11, 12, 43, 44, 45, 46, 47, 48, 79, 80, 81, 82, 83, 84, 115, 116, 117, 118, 119, 120, 151, 152, 153, 154, 155, 156, 187, 188, 189, 190, 191, 192]","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.5,0.005971670150756836,2.025767798171256,22,14,1.1191020407491095,900,1080
14526,1080,658,"['0', '36', '72', '108', '144', '180']","['216', '252', '288', '324', '360', '396']","[7, 8, 9, 10, 11, 12, 43, 44, 45, 46, 47, 48, 79, 80, 81, 82, 83, 84, 115, 116, 117, 118, 119, 120, 151, 152, 153, 154, 155, 156, 187, 188, 189, 190, 191, 192]","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.5,-0.0021086931228637695,2.0252810232112335,20,16,1.130436469012937,900,1080
2027,1080,657,"['0', '36', '72', '108', '144', '180']","['216', '252', '288', '324', '360', '396']","[7, 8, 9, 10, 11, 12, 43, 44, 45, 46, 47, 48, 79, 80, 81, 82, 83, 84, 115, 116, 117, 118, 119, 120, 151, 152, 153, 154, 155, 156, 187, 188, 189, 190, 191, 192]","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.5,0.000550389289855957,2.0601495975912094,18,18,1.1257234037448343,900,1080
3407,1080,657,"['0', '36', '72', '108', '144', '180']","['216', '252', '288', '324', '360', '396']","[7, 8, 9, 10, 11, 12, 43, 44, 45, 46, 47, 48, 79, 80, 81, 82, 83, 84, 115, 116, 117, 118, 119, 120, 151, 152, 153, 154, 155, 156, 187, 188, 189, 190, 191, 192]","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.5,0.001427292823791504,1.8316235633827924,15,21,1.0517392166896276,900,1080
91011,1080,655,"['0', '36', '72', '108', '144', '180']","['216', '252', '288', '324', '360', '396']","[7, 8, 9, 10, 11, 12, 43, 44, 45, 46, 47, 48, 79, 80, 81, 82, 83, 84, 115, 116, 117, 118, 119, 120, 151, 152, 153, 154, 155, 156, 187, 188, 189, 190, 191, 192]","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.5,-0.0017116069793701172,2.033099339028951,20,16,1.157237819205499,900,1080
