condition,seed,n_samples,n_features,n_modules,module_size,n_signal_modules,maximum_step,max_epochs,batch_size,learning_rate,dropout,source_shift,source_noise,label_noise,partition_note,feature_scope,target_features,n_model_input_features,connection_layer_sizes,n_sparse_connections,n_routable_sources,n_parameters,train_seconds,total_seconds,label_mean,signed_source_signal_separation,source_abs_signal_separation,train_loss,train_accuracy,train_balanced_accuracy,train_roc_auc,val_loss,val_accuracy,val_balanced_accuracy,val_roc_auc,test_loss,test_accuracy,test_balanced_accuracy,test_roc_auc,run_status,run_error
correct_graph,2027,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,correct_partition,graph_constrained_full_input,0|28|56|84|112|140,840,840|60|24|6,99,36,207410,6.702433630940504,6.813345692004077,0.5,2.002846892399776,0.001644492149353,0.3382184973784855,0.9933333333333332,0.9933333333333334,0.9920444444444444,0.3675242066383362,0.95,0.95,0.9924,0.3701140681902568,0.96,0.96,0.9776,ok,
correct_graph,2781,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,correct_partition,graph_constrained_full_input,0|28|56|84|112|140,840,840|60|24|6,101,36,207410,8.26057012390811,9.033309957012534,0.5,2.013708026336612,-0.0036820173263549,0.3596299120358058,0.9666666666666668,0.9666666666666668,0.982577777777778,0.3636121849219004,0.94,0.94,0.976,0.3758294880390167,0.93,0.93,0.9576,ok,
correct_graph,3407,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,correct_partition,graph_constrained_full_input,0|28|56|84|112|140,840,840|60|24|6,102,36,207410,7.0125295430189,7.070796979009174,0.5,2.041019302022519,0.0027440786361694,0.349308899470738,0.9766666666666668,0.9766666666666668,0.9925333333333332,0.3814564943313598,0.95,0.95,0.9888,0.4000605245431264,0.99,0.99,0.9996,ok,
correct_graph,14526,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,correct_partition,graph_constrained_full_input,0|28|56|84|112|140,840,840|60|24|6,102,36,207410,7.292237626039423,7.357081976952031,0.5,1.8849112557950207,0.0029953718185424,0.3682277415479932,0.9666666666666668,0.9666666666666666,0.9774666666666666,0.3946920533974965,0.9,0.8999999999999999,0.9304,0.3960893551508586,0.95,0.95,0.9548,ok,
correct_graph,91011,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,correct_partition,graph_constrained_full_input,0|28|56|84|112|140,840,840|60|24|6,97,36,207410,7.633830380975269,7.700667191063985,0.5,2.029116432782553,0.0013095140457153,0.3481125491006033,0.9833333333333332,0.9833333333333334,0.9844,0.3925923506418864,0.93,0.93,0.974,0.3569348553816477,0.96,0.96,0.9692,ok,
correct_graph,2027,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,correct_partition,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|60|24|6,105,36,265010,14.70602211903315,14.927665680996142,0.5,2.0601495975912094,0.0005503892898559,0.3212916751702626,0.9944444444444444,0.9944444444444444,0.992085048010974,0.3293673023581505,0.9888888888888888,0.9888888888888888,0.988641975308642,0.3319773897528648,0.9833333333333332,0.9833333333333334,0.985925925925926,ok,
correct_graph,2781,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,correct_partition,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|60|24|6,103,36,265010,13.251295681926422,13.464979303069413,0.5,2.025767798171256,0.0059716701507568,0.3228009069959323,0.9925925925925926,0.9925925925925928,0.9912482853223594,0.3475429266691208,0.9722222222222222,0.9722222222222222,0.9707407407407408,0.3255629241466522,0.9944444444444444,0.9944444444444444,0.9892592592592592,ok,
correct_graph,3407,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,correct_partition,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|60|24|6,101,36,265010,15.01036034093704,15.227444825926796,0.5,1.8316235633827924,0.0014272928237915,0.3440230761965115,0.975925925925926,0.975925925925926,0.9785459533607682,0.3494030386209488,0.9666666666666668,0.9666666666666668,0.9697530864197532,0.340003028512001,0.9777777777777776,0.977777777777778,0.9658024691358024,ok,
correct_graph,14526,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,correct_partition,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|60|24|6,102,36,265010,15.37513472395949,15.578807021025568,0.5,2.025281023211233,-0.0021086931228637,0.3296715741356213,0.9851851851851852,0.9851851851851852,0.9867352537722908,0.3254952356219291,0.9944444444444444,0.9944444444444444,0.9892592592592592,0.338639535009861,0.9833333333333332,0.9833333333333334,0.9807407407407408,ok,
correct_graph,91011,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,correct_partition,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|60|24|6,101,36,265010,14.249695915030316,14.450472075957803,0.5,2.033099339028951,-0.0017116069793701,0.3394267112016678,0.974074074074074,0.974074074074074,0.9757750342935528,0.3388339057564735,0.9777777777777776,0.977777777777778,0.9871604938271604,0.3483085408806801,0.9722222222222222,0.9722222222222222,0.9812345679012346,ok,
