condition,n_runs,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,val_roc_auc_mean,val_roc_auc_std,val_roc_auc_min,val_roc_auc_max,val_balanced_accuracy_mean,val_balanced_accuracy_std,val_balanced_accuracy_min,val_balanced_accuracy_max,train_seconds_mean,train_seconds_std,train_seconds_min,train_seconds_max,n_sparse_connections_mean,n_sparse_connections_std,n_sparse_connections_min,n_sparse_connections_max,n_routable_sources_mean,n_routable_sources_std,n_routable_sources_min,n_routable_sources_max,n_parameters_mean,n_parameters_std,n_parameters_min,n_parameters_max
correct_graph,10,0.9761762962962962,0.014226915482673302,0.9548,0.9996,0.970111111111111,0.020051032286333776,0.93,0.9944444444444444,0.9701111111111109,0.02005103228633373,0.93,0.9944444444444444,0.9767155555555556,0.018372405812277153,0.9304,0.9924,0.9569999999999999,0.02894604981211862,0.8999999999999999,0.9944444444444444,10.949411008576863,3.822662398329335,6.702433630940504,15.37513472395949,101.3,2.1628170930011112,97.0,105.0,36.0,0.0,36.0,36.0,236210.0,30357.865537616442,207410.0,265010.0
correct_graph_depth1,10,0.5152646913580248,0.0505780662928135,0.4176,0.5788,0.501,0.04122090776913319,0.44,0.5833333333333333,0.501,0.041220907769133217,0.44,0.5833333333333334,0.5083585185185185,0.04174621190564399,0.4399999999999999,0.5912345679012345,0.49855555555555553,0.040656647217434984,0.43,0.5611111111111111,3.473393337719608,1.0049543821888194,2.332257785019465,4.710883926018141,54.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,92210.0,12143.146215046576,80690.0,103730.0
correct_graph_depth3,10,0.9777501234567902,0.011272240777646285,0.9636,0.9988,0.9698888888888888,0.01805683756132422,0.93,0.9944444444444444,0.9698888888888888,0.018056837561324188,0.93,0.9944444444444444,0.9757664197530864,0.019940766021816353,0.9268,0.9904938271604938,0.9684444444444444,0.019863733315632456,0.92,0.9944444444444444,18.958849336300045,7.622796486570327,11.084879777976312,28.68226960801985,105.6,2.951459149490488,100.0,110.0,36.0,0.0,36.0,36.0,442490.0,59116.61695327296,376610.0,507410.0
random_graph,10,0.8933264197530864,0.172393415790321,0.542,0.9988,0.869,0.16707640991166645,0.55,0.9833333333333334,0.869,0.16707640991166645,0.55,0.9833333333333332,0.884327901234568,0.16660942419845207,0.542716049382716,0.9888,0.8525555555555556,0.16653249743618198,0.5166666666666666,0.9888888888888888,3.9706099677830933,0.9805570973660916,2.7249903159681708,5.136515832040459,30.0,11.785113019775793,17.0,59.0,2.0,1.1547005383792515,0.0,4.0,93195.4,23281.567435777743,64700.0,137642.0
wrong_graph_decoy,10,0.4936469135802469,0.05081267433213508,0.4112,0.5808,0.4967777777777778,0.045116675445916715,0.44,0.5900000000000001,0.4967777777777778,0.04511667544591667,0.44,0.59,0.49435703703703693,0.05185676193618,0.4184,0.5644444444444444,0.4873333333333333,0.043625793706742015,0.4,0.55,3.840648692275863,0.9826799258717783,2.64726271701511,5.246940891025588,22.2,10.992927018971992,5.0,46.0,0.0,0.0,0.0,0.0,75516.8,21965.35777992246,47936.0,118292.0
random_layer_matched,10,0.8600256790123458,0.1675079237879861,0.5323456790123458,0.9964,0.8148888888888889,0.16075285839288045,0.5,0.96,0.8148888888888888,0.16075285839288048,0.5,0.96,0.8395466666666668,0.17373174357438984,0.5407407407407407,0.9817283950617284,0.7957777777777777,0.17412355482725192,0.5055555555555555,0.98,10.92701809090795,4.184234199435433,6.265642259037122,15.670093400985934,101.3,2.1628170930011112,97.0,105.0,2.3,1.4944341180973264,0.0,4.0,236210.0,30357.865537616442,207410.0,265010.0
partial_inner_random,10,0.9793674074074075,0.014176675171498654,0.9556,1.0,0.972111111111111,0.022045283237725706,0.93,1.0,0.972111111111111,0.02204528323772567,0.93,1.0,0.9747076543209875,0.01504392769425985,0.9448,0.9916,0.9708888888888889,0.019860970818808638,0.92,0.9888888888888888,10.869706813711673,4.200087607107718,6.060106568969786,15.840483947074972,101.3,2.1628170930011112,97.0,105.0,36.0,0.0,36.0,36.0,236210.0,30357.865537616442,207410.0,265010.0
bad_feature,10,0.5020577777777777,0.02710502839406843,0.4632,0.537283950617284,0.5033333333333333,0.032764697117920724,0.45,0.56,0.5033333333333333,0.0327646971179207,0.45,0.56,0.49807802469135803,0.032407045342807285,0.4392,0.5519999999999999,0.5004444444444445,0.036459196050933236,0.42,0.55,10.830078205710743,4.260123214676272,6.08888878999278,15.823218064033426,99.1,3.1428932176861775,93.0,103.0,0.0,0.0,0.0,0.0,236210.0,30357.865537616442,207410.0,265010.0
mixed25_bad_feature,10,0.9784938271604938,0.015206049435672817,0.9516,1.0,0.9695555555555556,0.023148592588326012,0.93,1.0,0.9695555555555554,0.023148592588325974,0.93,1.0,0.9762572839506174,0.018256543890933268,0.932,0.9976,0.9663333333333333,0.027422668423846466,0.8999999999999999,0.9944444444444444,10.692517288797536,4.404590481427951,4.770010730950162,15.641176266013645,100.7,2.4517567397911053,97.0,105.0,24.0,0.0,24.0,24.0,236210.0,30357.865537616442,207410.0,265010.0
mixed50_bad_feature,10,0.9756923456790123,0.012892759469070014,0.9556,1.0,0.9697777777777776,0.014198282320424542,0.94,0.99,0.9697777777777776,0.01419828232042452,0.94,0.99,0.9807604938271606,0.014492626053526293,0.9516,0.996,0.9634444444444444,0.024770275119434092,0.91,0.9944444444444444,10.86855607421603,4.200844346521982,6.112249279976822,15.526612024055794,100.2,3.119829055146024,95.0,105.0,18.0,0.0,18.0,18.0,236210.0,30357.865537616442,207410.0,265010.0
mixed75_bad_feature,10,0.9704330864197532,0.020786069879727063,0.9188,0.9936,0.9523333333333334,0.03483234389285279,0.87,0.9944444444444444,0.9523333333333334,0.034832343892852766,0.87,0.9944444444444444,0.9683935802469137,0.02325652389124114,0.9152,0.991358024691358,0.9412222222222223,0.04367999984925912,0.86,0.9888888888888888,10.839930829196238,4.289219444908479,5.636244461988099,15.60012773401104,99.8,3.011090610836324,95.0,105.0,12.0,0.0,12.0,12.0,236210.0,30357.865537616442,207410.0,265010.0
