dataset,condition,n_runs,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,val_accuracy_mean,val_accuracy_std,val_accuracy_min,val_accuracy_max,val_balanced_accuracy_mean,val_balanced_accuracy_std,val_balanced_accuracy_min,val_balanced_accuracy_max,val_roc_auc_mean,val_roc_auc_std,val_roc_auc_min,val_roc_auc_max,train_seconds_mean,train_seconds_std,train_seconds_min,train_seconds_max,n_parameters_mean,n_parameters_std,n_parameters_min,n_parameters_max,n_sparse_connections_mean,n_sparse_connections_std,n_sparse_connections_min,n_sparse_connections_max,target_signal_score_mean_mean,target_signal_score_mean_std,target_signal_score_mean_min,target_signal_score_mean_max,condition_family
brca,low_signal_centric,5,0.8352941176470589,0.08846496374216274,0.7712418300653595,0.9477124183006536,0.6560774818401937,0.21615376710006085,0.5,0.935956416464891,0.6843341404358354,0.21837558830231174,0.4475786924939467,0.9404358353510895,0.8287581699346406,0.07875749192884737,0.7712418300653595,0.9150326797385621,0.6538498789346247,0.21078741132814294,0.5,0.8946731234866827,0.7000242130750605,0.21893101426296052,0.4676755447941889,0.9573849878934625,217.60623783802149,34.79857262366411,169.04510102106724,253.47741417901125,109887233.2,17465478.119465817,85427666.0,127372270.0,73886.6,246.14690735412458,73610.0,74145.0,0.0014667595273798336,0.00018178611193330618,0.0012501385749845082,0.001702689773082966,feature_selection
brca,mixed25_low_signal_centric,5,0.9071895424836601,0.07697448638137142,0.7712418300653595,0.954248366013072,0.8353268765133173,0.1893990586357516,0.5,0.9502421307506053,0.8699273607748184,0.2072095632592144,0.5,0.9782082324455206,0.9032679738562092,0.07683561835129722,0.7712418300653595,0.9607843137254902,0.8247457627118644,0.18256304548239777,0.5,0.9243341404358354,0.8514769975786927,0.20102179929203384,0.4973365617433414,0.97409200968523,175.1462012616219,24.627914327381795,137.7619884230662,205.78145718597807,88422268.4,12114255.800560791,70129970.0,103606610.0,73587.6,398.82615260286025,73154.0,74188.0,0.7312596636078703,0.019319296738938896,0.7080410703924177,0.7573251837021401,feature_selection
brca,mixed50_low_signal_centric,5,0.9281045751633987,0.03030594279573763,0.8888888888888888,0.9607843137254902,0.8991283292978208,0.04449884639410187,0.8475786924939468,0.9444309927360774,0.954140435835351,0.024544105192163705,0.9147699757869251,0.9789346246973366,0.9281045751633987,0.021178891171267502,0.9019607843137255,0.9477124183006536,0.883050847457627,0.04235947556874231,0.8158595641646489,0.92590799031477,0.9290314769975787,0.03333130085828887,0.8823244552058112,0.9533898305084746,191.971616919199,28.94158575979276,147.22749348101206,227.32067497097887,96887428.4,14545837.432415254,74337002.0,114378794.0,73731.0,398.67028983860837,73152.0,74132.0,0.4775457164732789,0.03402625985560639,0.43664266236642596,0.5272655267240874,feature_selection
brca,mixed75_low_signal_centric,5,0.9294117647058824,0.01982451096484063,0.8954248366013072,0.9477124183006536,0.9100242130750604,0.01619821242736659,0.8920096852300242,0.9274818401937046,0.9646973365617434,0.009840462999880333,0.9527845036319612,0.9786924939467312,0.9424836601307189,0.015604361289298473,0.9150326797385621,0.954248366013072,0.9044309927360775,0.016423579065198774,0.8846246973365618,0.92590799031477,0.9331234866828086,0.015611472856952031,0.9177966101694915,0.9556900726392251,200.02377804738936,42.190893169952155,134.14926073898096,248.1398387659574,101279915.6,21206324.84646665,68291794.0,125661890.0,73671.6,673.3634234200725,72719.0,74274.0,0.25838780268123207,0.023381473681927153,0.22863850135867583,0.2773831792468887,feature_selection
brca,original,5,0.9228758169934641,0.020874143036171633,0.8954248366013072,0.9477124183006536,0.8876997578692494,0.03467118740113847,0.8502421307506054,0.935956416464891,0.9547457627118645,0.017343306951364223,0.9300242130750607,0.976271186440678,0.9254901960784314,0.019931961675786793,0.9019607843137255,0.9477124183006536,0.8873849878934624,0.04149906687951558,0.8259079903147699,0.935956416464891,0.932953995157385,0.03002670262270946,0.890314769975787,0.9631961259079903,138.94193362321238,0.01825419595793885,138.9231041140156,138.97159338602796,70801138.0,0.0,70801138.0,70801138.0,73084.0,0.0,73084.0,73084.0,0.9701237476297788,0.01524795513374489,0.9450808444193431,0.9831924619419234,reference
brca,partial_outer_layer_random,5,0.938562091503268,0.014319543987063192,0.9215686274509803,0.9607843137254902,0.9079176755447941,0.03139932678333458,0.8687651331719128,0.9544794188861985,0.9577723970944311,0.019263171399076327,0.9278450363196126,0.9786924939467312,0.9307189542483659,0.015740646508225223,0.9084967320261438,0.9477124183006536,0.8988135593220339,0.023745701111272357,0.8803874092009685,0.935956416464891,0.9394673123486683,0.033087855890924105,0.8961259079903149,0.9680387409200968,138.95189585338812,0.03099916302522378,138.9218905250309,138.99484140297864,70801138.0,0.0,70801138.0,70801138.0,73084.0,0.0,73084.0,73084.0,0.9701237476297788,0.01524795513374489,0.9450808444193431,0.9831924619419234,graph_prior
brca,random_centric,5,0.8758169934640524,0.09561267214593328,0.7712418300653595,0.954248366013072,0.7506779661016949,0.22896153791379906,0.5,0.9301452784503632,0.7524213075060533,0.27229162607116436,0.4199757869249395,0.9692493946731235,0.8705882352941176,0.09143321314569174,0.7712418300653595,0.954248366013072,0.7432687651331719,0.22322149986290202,0.5,0.9401937046004842,0.7750363196125909,0.23757480398342237,0.4957627118644068,0.9677966101694916,208.8241869934136,25.372489469443906,168.1838585480582,235.40667766495608,105594600.4,12522461.645888511,85433714.0,118448778.0,73858.0,471.38201068772236,73065.0,74203.0,0.45226592624426953,0.055650584889567555,0.3636128253170422,0.5112140702881983,feature_selection
brca,random_graph,5,0.9228758169934641,0.024629338145642807,0.8954248366013072,0.9477124183006536,0.8876997578692494,0.04047537974447106,0.8460048426150122,0.935956416464891,0.954721549636804,0.016580432441138538,0.9398305084745762,0.979903147699758,0.9163398692810458,0.02505920197736054,0.8888888888888888,0.9477124183006536,0.8613559322033899,0.04438440597539229,0.8116222760290557,0.9073849878934624,0.9376997578692492,0.025522493507517396,0.8976997578692494,0.9595641646489105,125.64884749457705,4.372755148218337,117.98502298793755,128.498959330027,63746478.8,2370528.386051346,59587162.0,65508802.0,67974.2,309.21141634810317,67428.0,68185.0,0.9701237476297788,0.01524795513374489,0.9450808444193431,0.9831924619419234,graph_prior
brca,random_layer_matched,5,0.9281045751633987,0.023565694610875758,0.9019607843137255,0.9607843137254902,0.8890799031476998,0.03974886205638739,0.8401937046004843,0.9444309927360774,0.9610411622276029,0.01626570875166899,0.9423728813559322,0.9786924939467312,0.934640522875817,0.017899429983828968,0.9084967320261438,0.954248366013072,0.8892978208232446,0.033386902511881235,0.8502421307506054,0.9401937046004842,0.9397336561743341,0.031070479822339972,0.8916464891041161,0.9624697336561743,138.96571885060985,0.06181001092222453,138.88345166598447,139.0353205850115,70801138.0,0.0,70801138.0,70801138.0,73084.0,0.0,73084.0,73084.0,0.9701237476297788,0.01524795513374489,0.9450808444193431,0.9831924619419234,graph_prior
covid,low_signal_centric,5,0.6363636363636364,0.0463841824806687,0.5702479338842975,0.6942148760330579,0.6165324899367451,0.048345385195481955,0.5438470385278896,0.668487636572743,0.6557216791259345,0.04882519146392355,0.5764807360552041,0.7041403105232893,0.6512396694214876,0.045791389015520906,0.5785123966942148,0.7024793388429752,0.6333525014376078,0.0542321806900733,0.5467222541690626,0.6946520989074181,0.6919206440483036,0.05891912489242976,0.6249281196089707,0.7788959171937896,45.12597753398586,9.514535505007366,33.703326057991944,58.448962828028016,4535133.2,58023.613151888436,4438550.0,4584878.0,2462.8,35.15252480263687,2401.0,2488.0,0.0019226298143621534,0.0006724999812042067,0.0010261905554216355,0.0026654308196157215,feature_selection
